frame,altitude,airspeed,direction
13185,12.91,35.95,23.91
13186,12.91,35.95,23.84
13187,12.90,35.96,23.77
13188,12.90,35.97,23.70
13189,12.89,35.98,23.64
13190,12.89,35.99,23.57
13191,12.88,36,23.5
13323,11.98,33.5,16.1
13470,10.718096,33.5,13.305883
13471,10.71,33.51,13.26
13472,10.71,33.52,13.23
13473,10.71,33.53,13.19
13474,10.70,33.54,13.16
13475,10.70,33.55,13.12
13476,10.69,33.56,13.08
13477,10.69,33.57,13.05
13478,10.69,33.58,13.01
13479,10.68,33.59,12.98
13480,10.68,33.60,12.94
13481,10.67,33.61,12.90
13482,10.67,33.62,12.87
13483,10.67,33.63,12.83
13484,10.66,33.64,12.80
13485,10.66,33.65,12.76
13486,10.65,33.66,12.72
13487,10.65,33.67,12.69
